player_id,name,avg_bat_speed,squared_up_per_swing,swing_length,attack_angle,est_woba,pa,brl_percent
691406,"Caminero, Junior",79.869797447,0.2417417417417417,8.669528709,8.174151383612385,0.371,460,13.2
691023,"Walker, Jordan",79.15609941,0.2112482853223594,8.316275583,7.581197235531791,0.363,439,13.7
665833,"Cruz, Oneil",78.461901745,0.2147651006711409,7.622225302,7.844961108299858,0.358,283,16.4
701762,"Kurtz, Nick",78.253253807,0.1731669266770671,7.748838549,12.745005359804926,0.378,420,18.4
701358,"Smith, Cam",77.496753514,0.1906906906906907,7.703752703,10.800132481725116,0.333,388,11.7
669003,"Mitchell, Garrett",77.385724672,0.2007504690431519,7.229286041,9.79195660405677,0.354,342,14.2
695506,"Caglianone, Jac",77.365694756,0.2164634146341463,7.905919771,10.05925791302939,0.348,377,14.5
666176,"Adell, Jo",77.332607822,0.1831683168316831,7.722093626,9.718931861918517,0.33,434,8.7
575929,"Contreras, Willson",77.093346716,0.1880597014925373,7.92869009,11.403288492458202,0.387,400,14.4
656941,"Schwarber, Kyle",77.064996938,0.1681997371879106,7.48242343,14.635467488023515,0.368,452,18.0
695578,"Wood, James",76.856732203,0.2443502824858757,7.41676209,11.689732837472796,0.425,498,22.2
641343,"Bauers, Jake",76.770000091,0.2558983666061706,7.670482178,10.7657356922414,0.357,379,13.5
677594,"Rodríguez, Julio",76.631629393,0.1986206896551724,7.789282855,8.358038570457646,0.347,411,8.9
695657,"Montgomery, Colson",76.322024344,0.1607898448519041,7.915049252,13.14574052708488,0.319,411,13.1
665489,"Guerrero Jr., Vladimir",76.269826616,0.25,7.559931387,1.2635370828361556,0.34,429,6.8
656305,"Chapman, Matt",76.1503758,0.1672727272727272,7.370998182,3.7191265177600914,0.286,352,6.6
670541,"Alvarez, Yordan",76.125467889,0.2620087336244541,7.632189418,8.070897557516666,0.473,459,18.7
665487,"Tatis Jr., Fernando",76.038820868,0.2724550898203592,7.3276675,7.076864964202546,0.354,464,10.8
663586,"Riley, Austin",75.787249361,0.1970108695652173,7.579777568,11.488965801961296,0.297,427,10.9
682985,"Greene, Riley",75.684897923,0.2117177097203728,7.259483981,15.576177563776731,0.37,441,15.4
804606,"Griffin, Konnor",75.645159126,0.1793103448275862,7.69317246,9.54356409803068,0.305,247,8.0
682998,"Carroll, Corbin",75.527100913,0.2434782608695652,7.467445609,10.723197596241087,0.345,439,12.4
669394,"Burger, Jake",75.450374667,0.2251851851851851,7.500457363,9.379907744773416,0.305,406,10.6
682829,"De La Cruz, Elly",75.417185379,0.2522045855379188,7.112914656,8.388058511702681,0.372,381,14.8
696100,"Goodman, Hunter",75.402227887,0.1744680851063829,7.395600582,14.540853387034469,0.337,408,17.0
670042,"Raley, Luke",75.27058418,0.185546875,7.282722891,14.785828851338737,0.342,280,16.1
669065,"Stowers, Kyle",75.255015057,0.2029459901800327,6.788020131,14.850521677285704,0.324,344,11.8
669127,"Langeliers, Shea",75.237868817,0.2319508448540706,7.247590676,11.953736219046473,0.363,416,14.9
808959,"Murakami, Munetaka",75.210006688,0.2012578616352201,7.885074465,18.871285295153303,0.376,299,20.4
545361,"Trout, Mike",75.100219529,0.2198952879581152,7.508493473,7.236959187697023,0.404,392,18.4
680776,"Duran, Jarren",75.049571994,0.1832844574780058,7.608449619,6.150147181332708,0.293,414,10.3
624585,"Soler, Jorge",74.997127841,0.1686340640809443,7.898727808,11.84932082514714,0.298,344,11.3
683146,"Baty, Brett",74.963480719,0.205685618729097,7.410198043,10.277891922273843,0.304,350,8.7
621566,"Olson, Matt",74.926249235,0.2321204516938519,7.567242208,10.291860466631034,0.36,463,14.3
686948,"Baldwin, Drake",74.909628762,0.247588424437299,7.285751511,12.199623188912756,0.385,367,14.9
663728,"Raleigh, Cal",74.901016167,0.1435331230283911,7.87943011,17.584375223733137,0.284,316,10.9
671739,"Harris II, Michael",74.89599789,0.2390998593530239,8.173709184,7.312798239941705,0.357,399,12.2
606466,"Marte, Ketel",74.774782108,0.2674418604651162,7.733972907,9.248328347890132,0.358,446,10.4
691718,"Crow-Armstrong, Pete",74.76853009,0.2107969151670951,7.400604653,15.594501158227835,0.361,460,11.3
668904,"Lewis, Royce",74.74573,0.2008196721311475,8.012224713,11.030399393756136,0.301,295,11.6
686527,"Canzone, Dominic",74.699484882,0.2795698924731182,7.412726473,13.56177302681017,0.361,289,14.0
592518,"Machado, Manny",74.668293385,0.2284908321579689,7.880595938,7.386684870615293,0.328,437,10.9
624413,"Alonso, Pete",74.663877638,0.2402684563758389,7.192682725,10.234030783150317,0.38,462,12.5
694212,"Basallo, Samuel",74.652811207,0.226691042047532,7.62466713,11.769371835878658,0.336,311,12.9
