player_id,player_name,avg_bat_speed,avg_squared_up_pct,avg_swing_length,avg_exit_velocity,barrel_pct,hard_hit_pct,sweet_spot_pct,avg_xwoba_est
1,Aaron Judge,76.1,21.9,,94.1,21.7,57.3,33.6,0.415
2,Giancarlo Stanton,79.3,19.4,,94.1,18.0,44.3,37.7,0.326
3,Oneil Cruz,78.5,21.5,7.622225302,96.0,16.7,59.2,34.9,0.358
4,Fernando Tatis Jr.,76.0,27.2,7.3276675,92.2,10.9,53.6,30.8,0.356
5,Kyle Schwarber,77.1,16.9,7.48242343,93.3,18.3,52.0,39.6,0.367
6,Pete Alonso,74.7,23.8,7.192682725,93.9,12.3,54.6,34.9,0.378
7,Yordan Alvarez,76.1,26.2,7.632189418,94.6,18.9,53.3,41.8,0.473
8,Elly De La Cruz,75.4,25.0,7.112914656,94.1,14.5,52.1,35.9,0.368
9,Luis Arraez,63.2,42.4,5.900560179,87.0,0.5,21.0,40.4,0.304
10,Steven Kwan,62.8,42.4,6.226469515,83.4,0.3,9.5,40.7,0.322
11,Nico Hoerner,68.3,36.1,7.250951682,86.1,0.8,28.2,37.2,0.321
12,Jose Altuve,68.8,28.2,7.606813307,85.8,5.8,32.5,33.7,0.28
13,Freddie Freeman,70.4,26.5,6.734606462,90.2,10.1,43.7,38.3,0.385
14,Juan Soto,72.1,34.9,7.091708669,92.5,14.3,48.6,31.6,0.422
15,Bobby Witt Jr.,73.8,28.6,6.975369953,92.9,12.2,52.2,38.1,0.386
16,Ronald Acuna Jr.,76.0,21.3,,90.1,13.1,43.4,32.4,0.378
17,Corbin Carroll,75.5,24.1,7.467445609,91.5,12.4,47.3,28.0,0.346
18,Gunnar Henderson,74.4,22.8,7.315770973,89.4,7.2,44.2,29.3,0.303
19,Adley Rutschman,70.8,32.3,,89.4,7.1,42.0,40.6,0.348
20,Brice Turang,70.1,26.9,6.759776144,90.7,8.7,43.5,38.1,0.35
21,Wilyer Abreu,73.8,24.2,7.173967213,89.8,12.6,42.1,36.1,0.343
22,Junior Caminero,79.8,24.3,8.669528709,93.1,13.4,51.4,28.7,0.373
23,James Wood,76.8,24.2,7.41676209,95.1,21.7,58.6,40.7,0.42
24,Jackson Chourio,74.6,25.7,7.350498757,92.3,12.7,46.2,32.4,0.33
25,Jackson Merrill,73.4,20.5,7.569724293,89.7,10.2,45.9,38.1,0.317
26,Jasson Dominguez,74.5,22.2,,88.3,5.5,38.3,30.5,0.302
27,Jordan Walker,79.2,21.0,8.316275583,93.6,13.8,49.8,33.9,0.364
28,Wyatt Langford,72.8,26.7,,89.3,9.3,38.9,35.2,0.326
29,Trea Turner,71.7,24.8,7.630075102,88.9,6.6,41.6,33.1,0.295
30,Francisco Lindor,72.7,26.1,,91.9,8.8,49.0,31.3,0.34
31,CJ Abrams,72.9,24.8,7.691648472,89.8,11.0,42.3,34.8,0.35
32,Ketel Marte,74.8,26.8,7.733972907,91.0,10.3,44.0,33.2,0.358
33,Luis Robert Jr.,75.9,20.0,,89.2,3.9,41.6,22.1,0.323
34,Nick Castellanos,69.7,22.4,,87.7,8.4,37.3,42.2,0.285
35,Ozzie Albies,69.0,27.2,7.166070211,86.8,4.3,27.4,34.0,0.285
36,Xander Bogaerts,72.5,27.1,7.405228437,88.1,6.1,38.8,28.1,0.317
37,Matt Olson,74.9,23.2,7.567242208,92.6,13.8,50.3,30.9,0.358
38,Marcell Ozuna,73.6,19.9,7.488965391,89.3,8.3,38.1,39.4,0.307
39,Shohei Ohtani,74.7,27.9,7.88496742,93.6,16.5,53.5,38.5,0.406
40,Rafael Devers,71.9,24.0,7.52320518,92.3,11.6,50.7,32.7,0.324
41,William Contreras,73.2,32.4,7.161556407,90.0,7.2,42.6,31.0,0.334
42,Salvador Perez,71.6,23.7,7.70704875,89.0,10.3,42.5,34.2,0.297
43,Mookie Betts,69.5,42.8,,90.4,8.2,38.4,40.1,0.329
