"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Wood, James","695578","2026","498","266",0.271,0.278,-0.007000000000000006,0.557,0.606,-0.04899999999999993,0.403,0.425,-0.021999999999999964
"Ward, Taylor","621493","2026","482","297",0.253,0.253,0,0.357,0.382,-0.025000000000000022,0.34,0.348,-0.007999999999999952
"Henderson, Gunnar","683002","2026","481","325",0.221,0.235,-0.013999999999999985,0.402,0.383,0.019000000000000017,0.302,0.303,-0.0010000000000000009
"Busch, Michael","683737","2026","468","283",0.247,0.233,0.013999999999999985,0.405,0.409,-0.003999999999999948,0.345,0.341,0.003999999999999948
"Bregman, Alex","608324","2026","468","331",0.234,0.231,0.0030000000000000027,0.351,0.345,0.006000000000000005,0.306,0.304,0.0020000000000000018
"Tatis Jr., Fernando","665487","2026","464","324",0.277,0.285,-0.007999999999999952,0.393,0.439,-0.045999999999999985,0.325,0.354,-0.02899999999999997
"Herrera, Iván","671056","2026","464","308",0.244,0.245,-0.0010000000000000009,0.382,0.375,0.007000000000000006,0.336,0.335,0.0010000000000000009
"Olson, Matt","621566","2026","463","301",0.266,0.249,0.017000000000000015,0.527,0.511,0.016000000000000014,0.371,0.36,0.01100000000000001
"Alonso, Pete","624413","2026","462","287",0.249,0.274,-0.025000000000000022,0.466,0.515,-0.04899999999999999,0.352,0.38,-0.028000000000000025
"Neto, Zach","687263","2026","461","261",0.234,0.202,0.032,0.441,0.401,0.03999999999999998,0.334,0.307,0.027000000000000024
"Reynolds, Bryan","668804","2026","460","278",0.269,0.251,0.018000000000000016,0.453,0.446,0.007000000000000006,0.368,0.359,0.009000000000000008
"Caminero, Junior","691406","2026","460","318",0.282,0.277,0.004999999999999949,0.542,0.502,0.040000000000000036,0.387,0.371,0.016000000000000014
"Crow-Armstrong, Pete","691718","2026","460","275",0.29,0.258,0.03199999999999997,0.545,0.47,0.07500000000000007,0.399,0.361,0.038000000000000034
"Hoerner, Nico","663538","2026","459","380",0.247,0.294,-0.046999999999999986,0.337,0.369,-0.03199999999999997,0.29,0.322,-0.03200000000000003
"Alvarez, Yordan","670541","2026","459","305",0.323,0.334,-0.01100000000000001,0.643,0.711,-0.06799999999999995,0.445,0.473,-0.02799999999999997
"Albies, Ozzie","645277","2026","458","355",0.26,0.234,0.025999999999999995,0.434,0.357,0.07700000000000001,0.32,0.283,0.03700000000000003
"Turner, Trea","607208","2026","455","321",0.244,0.246,-0.0020000000000000018,0.391,0.374,0.017000000000000015,0.301,0.297,0.0040000000000000036
"Wetherholt, JJ","802139","2026","453","321",0.253,0.257,-0.0040000000000000036,0.393,0.432,-0.03899999999999998,0.331,0.347,-0.01599999999999996
"Bichette, Bo","666182","2026","453","339",0.257,0.279,-0.02200000000000002,0.37,0.413,-0.04299999999999998,0.297,0.323,-0.026000000000000023
"Schwarber, Kyle","656941","2026","452","228",0.252,0.24,0.01200000000000001,0.549,0.502,0.04700000000000004,0.389,0.368,0.02100000000000002
"McGonigle, Kevin","805808","2026","452","323",0.281,0.269,0.01200000000000001,0.418,0.44,-0.02200000000000002,0.359,0.36,-0.0010000000000000009
"Pages, Andy","681624","2026","452","317",0.263,0.266,-0.0030000000000000027,0.454,0.437,0.017000000000000015,0.341,0.338,0.0030000000000000027
"Turang, Brice","668930","2026","450","282",0.267,0.258,0.009000000000000008,0.464,0.447,0.017000000000000015,0.359,0.35,0.009000000000000008
"Stewart, Sal","701398","2026","450","307",0.253,0.251,0.0020000000000000018,0.47,0.473,-0.0030000000000000027,0.342,0.348,-0.00599999999999995
"Vargas, Miguel","678246","2026","449","308",0.242,0.269,-0.027000000000000024,0.484,0.526,-0.04200000000000004,0.359,0.39,-0.031000000000000028
"Aranda, Jonathan","666018","2026","448","282",0.282,0.262,0.019999999999999962,0.438,0.451,-0.013000000000000012,0.357,0.358,-0.0010000000000000009
"Ohtani, Shohei","660271","2026","447","275",0.282,0.289,-0.007000000000000006,0.52,0.563,-0.04299999999999993,0.383,0.405,-0.02200000000000002
"Edwards, Xavier","669364","2026","446","333",0.289,0.263,0.025999999999999968,0.402,0.372,0.030000000000000027,0.339,0.318,0.02100000000000002
"Marte, Ketel","606466","2026","446","347",0.254,0.289,-0.034999999999999976,0.457,0.489,-0.03199999999999997,0.329,0.358,-0.02899999999999997
"Freeman, Freddie","518692","2026","446","319",0.301,0.298,0.0030000000000000027,0.491,0.499,-0.008000000000000007,0.378,0.383,-0.0050000000000000044
"Harper, Bryce","547180","2026","446","285",0.251,0.269,-0.018000000000000016,0.484,0.497,-0.013000000000000012,0.361,0.38,-0.019000000000000017
"Devers, Rafael","646240","2026","446","280",0.247,0.232,0.014999999999999986,0.485,0.455,0.02999999999999997,0.342,0.325,0.017000000000000015
"Díaz, Yandy","650490","2026","445","332",0.303,0.287,0.016000000000000014,0.461,0.444,0.017000000000000015,0.365,0.357,0.008000000000000007
"Burleson, Alec","676475","2026","442","335",0.289,0.299,-0.010000000000000009,0.471,0.537,-0.06600000000000006,0.355,0.383,-0.028000000000000025
"Abreu, Wilyer","677800","2026","442","304",0.253,0.256,-0.0030000000000000027,0.44,0.467,-0.027000000000000024,0.331,0.342,-0.01100000000000001
"Greene, Riley","682985","2026","441","267",0.282,0.264,0.01799999999999996,0.463,0.494,-0.030999999999999972,0.362,0.37,-0.008000000000000007
"Lopez, Otto","672640","2026","441","352",0.328,0.288,0.040000000000000036,0.49,0.437,0.05299999999999999,0.367,0.334,0.032999999999999974
"Walker, Jordan","691023","2026","439","293",0.286,0.282,0.0040000000000000036,0.51,0.498,0.01200000000000001,0.368,0.363,0.0050000000000000044
"Carroll, Corbin","682998","2026","439","283",0.25,0.249,0.0010000000000000009,0.487,0.448,0.03899999999999998,0.356,0.345,0.01100000000000001
"Perdomo, Geraldo","672695","2026","438","314",0.233,0.245,-0.011999999999999983,0.357,0.333,0.023999999999999966,0.325,0.328,-0.0030000000000000027
"Arraez, Luis","650333","2026","438","391",0.327,0.285,0.04200000000000004,0.451,0.371,0.08000000000000002,0.349,0.304,0.044999999999999984
"Machado, Manny","592518","2026","437","293",0.21,0.238,-0.027999999999999997,0.438,0.434,0.0040000000000000036,0.315,0.328,-0.013000000000000012
"Lile, Daylen","695734","2026","436","326",0.244,0.254,-0.010000000000000009,0.406,0.413,-0.006999999999999951,0.305,0.314,-0.009000000000000008
"Happ, Ian","664023","2026","436","237",0.22,0.203,0.016999999999999987,0.425,0.405,0.019999999999999962,0.332,0.318,0.014000000000000012
"Abrams, CJ","682928","2026","436","297",0.297,0.264,0.032999999999999974,0.573,0.476,0.09699999999999998,0.398,0.354,0.04400000000000004
"Adell, Jo","666176","2026","434","309",0.243,0.264,-0.02100000000000002,0.403,0.449,-0.045999999999999985,0.304,0.33,-0.026000000000000023
