player_id,player_name,team,position,bats
100000,Junior Tovar,Dodgers,3B,L
100001,Junior Alvarez,Red Sox,C,S
100002,Nolan Tovar,Astros,RF,R
100003,Anthony Carroll,Orioles,3B,L
100004,Ezequiel Greene,Mets,RF,R
100005,Corbin Holt,Brewers,SS,R
100006,Anthony Story,Nationals,LF,L
100007,Jordan Ortiz,Rays,DH,L
100008,Jordan Tovar,Astros,1B,R
100009,Julio Abreu,Orioles,1B,L
100010,Luis Arenado,Mets,DH,R
100011,Michael Ortiz,Brewers,SS,R
100012,Julio Wood,Dodgers,SS,R
100013,Gunnar Alvarez,Padres,3B,L
100014,Riley Alvarez,Brewers,2B,L
100015,Corbin Story,Yankees,3B,R
100016,Devin Alvarez,Braves,1B,R
100017,Trevor Turang,Yankees,RF,L
100018,Julio Alvarez,Nationals,RF,R
100019,Adley Witt,Rays,1B,R
100020,Corbin Alvarez,Dodgers,SS,R
100021,Wilyer Tovar,Braves,LF,R
100022,Junior Witt,Yankees,2B,R
100023,Ronny Carroll,Padres,1B,R
100024,Carlos Volpe,Rays,2B,R
100025,Anthony Reyes,Cubs,2B,L
100026,James Witt,Orioles,RF,L
100027,Elly De La Cruz,Mets,RF,R
100028,Ronny Turang,Brewers,C,L
100029,Jordan Rodriguez,Astros,1B,R
100030,Luis Wood,Guardians,CF,R
100031,James De La Cruz,Nationals,2B,L
100032,Bobby Ortiz,Padres,C,R
100033,Ronny Nunez,Mets,DH,L
100034,Corbin Reyes,Astros,DH,L
100035,Xavier Arenado,Yankees,SS,R
100036,Wilyer Caminero,Guardians,DH,R
100037,Jordan Rivas,Astros,2B,R
100038,Gunnar Rivas,Guardians,RF,L
100039,Julio Arenado,Dodgers,3B,L
100040,James Meyer,Brewers,LF,R
100041,Ezequiel De La Cruz,Yankees,C,R
100042,Marco Marsh,Dodgers,1B,R
100043,Marco Meyer,Yankees,1B,L
100044,Carlos Witt,Guardians,3B,L
100045,Kaleb Turang,Red Sox,DH,R
100046,Julio Tovar,Rays,C,R
100047,Corbin Diaz,Red Sox,LF,R
100048,Trevor Reyes,Padres,2B,R
100049,Xavier Turang,Mets,RF,L
100050,Gunnar Wood,Phillies,SS,R
100051,Junior Reyes,Nationals,LF,L
100052,Luis Tovar,Phillies,C,L
100053,Carlos Holt,Nationals,C,R
100054,Gunnar Ortiz,Phillies,RF,L
100055,Carlos Marsh,Red Sox,DH,R
100056,Bobby Henderson,Cubs,2B,S
100057,Marco Wood,Orioles,C,R
100058,Carlos Nunez,Red Sox,DH,L
100059,Anthony Perez,Nationals,DH,R
100060,Julio Marsh,Rays,CF,L
100061,Elly Ortiz,Cubs,C,L
100062,Elly Reyes,Rays,DH,R
100063,Brice Caminero,Rays,RF,R
100064,Nolan Rivas,Mets,LF,L
100065,Wilyer Rivas,Nationals,2B,L
100066,Kaleb Nunez,Guardians,SS,R
100067,Luis Turang,Red Sox,2B,R
100068,Brice Alvarez,Padres,1B,R
100069,Luis Alvarez,Astros,LF,R
100070,Brice Arenado,Brewers,CF,R
100071,Corbin Caminero,Orioles,DH,R
100072,James Rodriguez,Orioles,LF,S
100073,Adley Reyes,Padres,DH,R
100074,Bobby Witt,Red Sox,LF,R
100075,Nolan Wood,Astros,3B,S
100076,Marco Diaz,Astros,RF,R
100077,Riley Tovar,Yankees,C,R
100078,Xavier Story,Nationals,RF,R
100079,Ronny Henderson,Astros,LF,L
100080,Ezequiel Meyer,Phillies,3B,R
100081,Luis Carroll,Brewers,LF,L
100082,Xavier Carroll,Orioles,2B,R
100083,Carlos Arenado,Yankees,RF,R
100084,Michael Abreu,Guardians,LF,R
100085,Marco Story,Phillies,2B,R
100086,Michael Diaz,Braves,1B,R
100087,Adley Turang,Dodgers,C,R
100088,Trevor Abreu,Guardians,LF,L
100089,Trevor De La Cruz,Yankees,2B,R
100090,Nolan Perez,Yankees,RF,R
100091,Julio Rivas,Cubs,2B,R
100092,Riley Witt,Padres,3B,R
100093,Brice Ortiz,Cubs,SS,R
100094,Junior Volpe,Brewers,C,L
100095,Jordan Caminero,Yankees,RF,L
100096,Devin Nunez,Phillies,RF,L
100097,Riley Greene,Braves,RF,R
100098,Trevor Henderson,Phillies,SS,L
100099,Anthony Rodriguez,Astros,3B,L
100100,Devin Reyes,Rays,1B,R
100101,James Carroll,Braves,2B,R
100102,Adley Ortiz,Astros,2B,R
100103,Marco Alvarez,Nationals,2B,S
100104,Jordan Perez,Yankees,SS,R
100105,Julio Henderson,Padres,RF,L
100106,Gunnar Henderson,Astros,LF,R
100107,Marco Arenado,Rays,1B,L
100108,Adley Volpe,Cubs,1B,L
100109,Riley Caminero,Braves,CF,R
100110,Adley Diaz,Astros,1B,S
100111,Elly Meyer,Guardians,RF,L
100112,Luis Diaz,Brewers,2B,L
100113,Adley Meyer,Red Sox,1B,R
100114,Brice Witt,Guardians,SS,R
100115,Luis Story,Orioles,SS,L
100116,James Diaz,Yankees,1B,R
100117,Nolan Caminero,Guardians,LF,R
100118,Nolan Ortiz,Astros,DH,L
100119,Riley Reyes,Yankees,3B,R
100120,Kaleb Wood,Padres,1B,S
100121,Gunnar Carroll,Astros,3B,L
100122,Marco Witt,Padres,DH,L
100123,Bobby Rodriguez,Brewers,3B,S
100124,Anthony Diaz,Mets,1B,L
100125,Michael Greene,Brewers,1B,L
100126,Gunnar Turang,Brewers,SS,L
100127,Corbin Marsh,Padres,SS,R
