bb_id,player_id,bat_speed,attack_angle,squared_up_pct,swing_length,pitch_speed,exit_velocity,launch_angle,is_barrel,is_hard_hit,is_sweet_spot,xwoba_est
1,100000,70.9,9.1,42.6,7.45,93.9,78.8,8.7,0,0,1,0.265
2,100000,71.6,11.6,30.4,8.01,91.5,92.1,10.3,0,0,1,0.548
3,100000,68.8,21.2,11.7,7.34,91.7,81.6,19.7,0,0,1,0.316
4,100000,76.7,2.9,21.2,7.41,95.6,101.0,4.3,0,1,0,0.593
5,100000,72.3,15.6,35.3,6.87,88.8,106.7,26.6,1,1,1,0.644
6,100000,75.1,-0.4,25.3,6.79,97.2,105.4,17.5,1,1,1,0.885
7,100000,79.1,12.3,23.1,7.8,88.6,83.5,12.2,0,0,1,0.48
8,100000,74.1,20.4,41.3,6.92,91.2,95.5,31.0,0,1,1,0.206
9,100000,77.4,13.9,18.0,6.88,100.2,94.8,4.8,0,0,0,0.498
10,100000,75.4,12.0,20.4,7.23,97.4,111.3,22.0,1,1,1,0.924
11,100000,79.1,7.6,30.0,7.21,93.8,109.4,-2.3,0,1,0,0.422
12,100000,78.4,11.2,31.7,6.93,90.2,105.8,25.3,1,1,1,0.716
13,100000,73.9,9.5,32.7,7.14,91.6,90.6,38.2,0,0,0,0.189
14,100000,75.9,6.3,36.6,7.68,93.8,90.4,4.7,0,0,0,0.383
15,100000,80.5,9.2,29.9,6.96,93.6,104.5,-19.3,0,1,0,0.071
16,100000,78.1,12.2,32.6,6.76,93.2,87.9,5.0,0,0,0,0.349
17,100000,71.3,6.4,25.5,7.57,93.4,86.4,22.4,0,0,1,0.378
18,100000,79.1,6.1,28.6,7.42,92.7,94.8,13.3,0,0,1,0.709
19,100000,72.4,2.8,29.0,7.03,88.5,103.6,6.0,0,1,0,0.682
20,100000,81.9,13.3,30.0,6.69,91.7,95.4,26.4,0,1,1,0.442
21,100000,80.5,14.2,35.3,6.98,96.7,80.6,20.5,0,0,1,0.441
22,100000,77.7,12.4,33.2,7.23,88.7,100.6,28.2,1,1,1,0.442
23,100000,77.2,16.8,28.4,7.65,92.8,88.3,28.7,0,0,1,0.378
24,100000,75.8,11.5,20.3,6.88,90.6,88.8,31.3,0,0,1,0.287
25,100000,79.1,13.3,28.6,7.22,93.9,95.4,18.0,0,1,1,0.62
26,100000,75.2,12.8,27.7,7.48,92.1,89.9,24.6,0,0,1,0.414
27,100000,77.5,10.4,29.8,6.41,98.7,103.3,6.4,0,1,0,0.618
28,100000,79.9,7.8,48.9,7.61,95.3,94.7,0.0,0,0,0,0.356
29,100000,74.4,24.3,23.0,6.83,88.9,84.1,46.4,0,0,0,0.052
30,100000,74.2,8.3,32.0,7.36,95.8,100.5,11.1,0,1,1,0.744
31,100000,72.0,7.0,38.1,7.33,90.8,89.9,17.4,0,0,1,0.468
32,100000,72.5,13.6,28.9,7.62,91.5,77.1,15.2,0,0,1,0.305
33,100000,69.6,12.5,50.2,7.44,94.6,106.3,4.9,0,1,0,0.714
34,100000,79.3,2.5,24.4,6.41,91.8,103.1,2.7,0,1,0,0.599
