player_id,n_bbe,avg_bat_speed,avg_attack_angle,avg_squared_up_pct,avg_swing_length,avg_exit_velocity,barrel_pct,hard_hit_pct,sweet_spot_pct,avg_xwoba_est
100000,126,75.4,10.887,28.46,7.27,92.146,11.9,38.1,53.17,0.406
100001,308,74.623,13.223,23.298,7.238,89.989,8.77,29.22,51.95,0.383
100002,277,67.773,15.276,28.104,8.493,88.216,9.03,25.99,53.43,0.353
100003,142,73.97,12.188,29.38,6.481,92.231,13.38,42.96,46.48,0.413
100004,317,72.79,12.162,29.242,7.097,91.694,11.99,36.28,52.05,0.389
100005,205,71.747,15.921,33.048,8.332,91.974,9.76,37.07,50.73,0.387
100006,314,74.715,10.627,32.739,7.573,94.815,17.2,48.73,51.91,0.448
100007,135,73.219,7.391,21.204,7.677,87.61,8.15,24.44,42.96,0.344
100008,282,72.981,9.444,34.204,7.404,94.441,14.54,47.52,48.94,0.44
100009,84,73.232,15.148,26.035,7.605,90.864,9.52,33.33,59.52,0.397
100010,271,72.267,11.41,31.466,7.76,93.291,13.28,42.8,49.08,0.423
100011,213,64.423,14.387,28.492,6.942,84.755,4.23,18.31,57.75,0.316
100012,68,70.893,15.194,25.6,7.791,87.544,10.29,19.12,54.41,0.336
100013,61,68.689,9.002,19.582,6.572,82.679,4.92,9.84,50.82,0.281
100014,229,65.877,14.987,25.406,7.542,83.884,3.49,12.23,59.39,0.292
100015,215,76.528,13.876,19.243,7.438,89.872,6.98,30.7,60.0,0.388
100016,284,76.078,6.137,31.487,7.004,96.51,14.08,57.04,40.85,0.432
100017,278,75.246,18.631,33.137,7.314,95.209,19.78,54.32,58.99,0.451
100018,104,71.2,8.956,23.14,7.027,86.555,3.85,19.23,43.27,0.297
100019,157,75.141,2.618,28.187,6.779,94.779,9.55,45.86,34.39,0.385
100020,288,70.551,6.308,23.451,7.139,86.908,5.21,20.83,43.75,0.317
100021,125,71.565,6.414,23.409,6.772,87.141,4.0,20.0,37.6,0.283
100022,124,67.027,11.565,29.744,7.507,87.774,7.26,25.0,50.0,0.33
100023,183,71.598,9.983,26.273,6.692,89.158,7.65,31.15,49.73,0.362
100024,281,70.589,10.789,33.898,7.714,92.639,9.25,40.21,47.69,0.418
100025,70,65.899,15.121,23.133,6.682,81.844,1.43,7.14,47.14,0.237
100026,181,70.254,13.026,30.348,7.063,88.769,6.08,25.97,56.91,0.371
100027,126,69.785,12.36,25.654,6.994,86.007,3.17,15.87,65.08,0.338
100028,183,76.638,13.702,30.573,8.073,95.557,14.21,49.73,50.82,0.461
100029,257,73.177,13.995,24.286,7.514,89.839,9.34,31.13,52.53,0.383
